date,daily_score,isPartial,keyword
2019-03-01,55,False,Call of Duty
2019-03-02,67,False,Call of Duty
2019-03-03,70,False,Call of Duty
2019-03-04,53,False,Call of Duty
2019-03-05,60,False,Call of Duty
2019-03-06,66,False,Call of Duty
2019-03-07,61,False,Call of Duty
2019-03-08,70,False,Call of Duty
2019-03-09,90,False,Call of Duty
2019-03-10,69,False,Call of Duty
2019-03-11,56,False,Call of Duty
2019-03-12,55,False,Call of Duty
2019-03-13,55,False,Call of Duty
2019-03-14,57,False,Call of Duty
2019-03-15,62,False,Call of Duty
2019-03-16,78,False,Call of Duty
2019-03-17,70,False,Call of Duty
2019-03-18,60,False,Call of Duty
2019-03-19,92,False,Call of Duty
2019-03-20,80,False,Call of Duty
2019-03-21,82,False,Call of Duty
2019-03-22,75,False,Call of Duty
2019-03-23,100,False,Call of Duty
2019-03-24,94,False,Call of Duty
2019-03-25,76,False,Call of Duty
2019-03-26,73,False,Call of Duty
2019-03-27,69,False,Call of Duty
2019-03-28,61,False,Call of Duty
2019-03-29,75,False,Call of Duty
2019-03-30,95,False,Call of Duty
2019-03-31,84,False,Call of Duty
2019-04-01,78,False,Call of Duty
2019-04-02,79,False,Call of Duty
2019-04-03,79,False,Call of Duty
2019-04-04,78,False,Call of Duty
2019-04-05,77,False,Call of Duty
2019-04-06,100,False,Call of Duty
2019-04-07,91,False,Call of Duty
2019-04-08,74,False,Call of Duty
2019-04-09,69,False,Call of Duty
2019-04-10,65,False,Call of Duty
2019-04-11,71,False,Call of Duty
2019-04-12,72,False,Call of Duty
2019-04-13,82,False,Call of Duty
2019-04-14,82,False,Call of Duty
2019-04-15,66,False,Call of Duty
2019-04-16,69,False,Call of Duty
2019-04-17,69,False,Call of Duty
2019-04-18,70,False,Call of Duty
2019-04-19,71,False,Call of Duty
2019-04-20,77,False,Call of Duty
2019-04-21,85,False,Call of Duty
2019-04-22,68,False,Call of Duty
2019-04-23,60,False,Call of Duty
2019-04-24,66,False,Call of Duty
2019-04-25,63,False,Call of Duty
2019-04-26,70,False,Call of Duty
2019-04-27,78,False,Call of Duty
2019-04-28,73,False,Call of Duty
2019-04-29,62,False,Call of Duty
2019-04-30,71,False,Call of Duty
2019-05-01,21,False,Call of Duty
2019-05-02,17,False,Call of Duty
2019-05-03,21,False,Call of Duty
2019-05-04,22,False,Call of Duty
2019-05-05,23,False,Call of Duty
2019-05-06,20,False,Call of Duty
2019-05-07,18,False,Call of Duty
2019-05-08,17,False,Call of Duty
2019-05-09,18,False,Call of Duty
2019-05-10,19,False,Call of Duty
2019-05-11,23,False,Call of Duty
2019-05-12,21,False,Call of Duty
2019-05-13,17,False,Call of Duty
2019-05-14,16,False,Call of Duty
2019-05-15,21,False,Call of Duty
2019-05-16,27,False,Call of Duty
2019-05-17,37,False,Call of Duty
2019-05-18,47,False,Call of Duty
2019-05-19,41,False,Call of Duty
2019-05-20,35,False,Call of Duty
2019-05-21,41,False,Call of Duty
2019-05-22,38,False,Call of Duty
2019-05-23,37,False,Call of Duty
2019-05-24,44,False,Call of Duty
2019-05-25,50,False,Call of Duty
2019-05-26,45,False,Call of Duty
2019-05-27,38,False,Call of Duty
2019-05-28,33,False,Call of Duty
2019-05-29,39,False,Call of Duty
2019-05-30,100,False,Call of Duty
2019-05-31,91,False,Call of Duty
2019-03-01,53,False,Call of Duty: Modern Warfare
2019-03-02,46,False,Call of Duty: Modern Warfare
2019-03-03,54,False,Call of Duty: Modern Warfare
2019-03-04,42,False,Call of Duty: Modern Warfare
2019-03-05,64,False,Call of Duty: Modern Warfare
2019-03-06,76,False,Call of Duty: Modern Warfare
2019-03-07,73,False,Call of Duty: Modern Warfare
2019-03-08,75,False,Call of Duty: Modern Warfare
2019-03-09,100,False,Call of Duty: Modern Warfare
2019-03-10,81,False,Call of Duty: Modern Warfare
2019-03-11,54,False,Call of Duty: Modern Warfare
2019-03-12,45,False,Call of Duty: Modern Warfare
2019-03-13,50,False,Call of Duty: Modern Warfare
2019-03-14,50,False,Call of Duty: Modern Warfare
2019-03-15,53,False,Call of Duty: Modern Warfare
2019-03-16,64,False,Call of Duty: Modern Warfare
2019-03-17,61,False,Call of Duty: Modern Warfare
2019-03-18,45,False,Call of Duty: Modern Warfare
2019-03-19,46,False,Call of Duty: Modern Warfare
2019-03-20,35,False,Call of Duty: Modern Warfare
2019-03-21,43,False,Call of Duty: Modern Warfare
2019-03-22,47,False,Call of Duty: Modern Warfare
2019-03-23,69,False,Call of Duty: Modern Warfare
2019-03-24,57,False,Call of Duty: Modern Warfare
2019-03-25,48,False,Call of Duty: Modern Warfare
2019-03-26,39,False,Call of Duty: Modern Warfare
2019-03-27,42,False,Call of Duty: Modern Warfare
2019-03-28,39,False,Call of Duty: Modern Warfare
2019-03-29,44,False,Call of Duty: Modern Warfare
2019-03-30,45,False,Call of Duty: Modern Warfare
2019-03-31,49,False,Call of Duty: Modern Warfare
2019-04-01,81,False,Call of Duty: Modern Warfare
2019-04-02,78,False,Call of Duty: Modern Warfare
2019-04-03,60,False,Call of Duty: Modern Warfare
2019-04-04,63,False,Call of Duty: Modern Warfare
2019-04-05,83,False,Call of Duty: Modern Warfare
2019-04-06,100,False,Call of Duty: Modern Warfare
2019-04-07,84,False,Call of Duty: Modern Warfare
2019-04-08,60,False,Call of Duty: Modern Warfare
2019-04-09,69,False,Call of Duty: Modern Warfare
2019-04-10,71,False,Call of Duty: Modern Warfare
2019-04-11,74,False,Call of Duty: Modern Warfare
2019-04-12,65,False,Call of Duty: Modern Warfare
2019-04-13,71,False,Call of Duty: Modern Warfare
2019-04-14,81,False,Call of Duty: Modern Warfare
2019-04-15,60,False,Call of Duty: Modern Warfare
2019-04-16,66,False,Call of Duty: Modern Warfare
2019-04-17,59,False,Call of Duty: Modern Warfare
2019-04-18,66,False,Call of Duty: Modern Warfare
2019-04-19,66,False,Call of Duty: Modern Warfare
2019-04-20,65,False,Call of Duty: Modern Warfare
2019-04-21,71,False,Call of Duty: Modern Warfare
2019-04-22,47,False,Call of Duty: Modern Warfare
2019-04-23,53,False,Call of Duty: Modern Warfare
2019-04-24,46,False,Call of Duty: Modern Warfare
2019-04-25,60,False,Call of Duty: Modern Warfare
2019-04-26,59,False,Call of Duty: Modern Warfare
2019-04-27,73,False,Call of Duty: Modern Warfare
2019-04-28,85,False,Call of Duty: Modern Warfare
2019-04-29,53,False,Call of Duty: Modern Warfare
2019-04-30,57,False,Call of Duty: Modern Warfare
2019-05-01,6,False,Call of Duty: Modern Warfare
2019-05-02,4,False,Call of Duty: Modern Warfare
2019-05-03,5,False,Call of Duty: Modern Warfare
2019-05-04,6,False,Call of Duty: Modern Warfare
2019-05-05,6,False,Call of Duty: Modern Warfare
2019-05-06,6,False,Call of Duty: Modern Warfare
2019-05-07,5,False,Call of Duty: Modern Warfare
2019-05-08,4,False,Call of Duty: Modern Warfare
2019-05-09,5,False,Call of Duty: Modern Warfare
2019-05-10,5,False,Call of Duty: Modern Warfare
2019-05-11,6,False,Call of Duty: Modern Warfare
2019-05-12,7,False,Call of Duty: Modern Warfare
2019-05-13,5,False,Call of Duty: Modern Warfare
2019-05-14,3,False,Call of Duty: Modern Warfare
2019-05-15,5,False,Call of Duty: Modern Warfare
2019-05-16,5,False,Call of Duty: Modern Warfare
2019-05-17,5,False,Call of Duty: Modern Warfare
2019-05-18,6,False,Call of Duty: Modern Warfare
2019-05-19,7,False,Call of Duty: Modern Warfare
2019-05-20,5,False,Call of Duty: Modern Warfare
2019-05-21,7,False,Call of Duty: Modern Warfare
2019-05-22,5,False,Call of Duty: Modern Warfare
2019-05-23,4,False,Call of Duty: Modern Warfare
2019-05-24,10,False,Call of Duty: Modern Warfare
2019-05-25,10,False,Call of Duty: Modern Warfare
2019-05-26,8,False,Call of Duty: Modern Warfare
2019-05-27,7,False,Call of Duty: Modern Warfare
2019-05-28,6,False,Call of Duty: Modern Warfare
2019-05-29,10,False,Call of Duty: Modern Warfare
2019-05-30,87,False,Call of Duty: Modern Warfare
2019-05-31,100,False,Call of Duty: Modern Warfare
